,Price,new_car_price,overview_Fuel type,overview_Transmission,overview_Color,overview_Insurance,overview_Registration Type,overview_Car Available at,spec_Engine,spec_Fuel Type,spec_Transmission,spec_Max Power (bhp@rpm),spec_Max Torque (Nm@rpm),spec_Mileage,spec_Top Speed,spec_Emission Standard,spec_Seating Capacity,spec_Bootspace,spec_Fuel Tank Capacity,spec_Airbags,spec_Anti-Lock Braking System (ABS),spec_Electronic Stability Program (ESP),spec_Brake Assist (BA),spec_Electronic Brake-force Distribution (EBD),spec_Traction Control System (TC/TCS),spec_Hill Hold Control,spec_Hill Descent Control,spec_Child Safety Lock,spec_Child Seat Anchor Points,spec_Engine Immobiliser,spec_Central Locking,spec_Sunroof,spec_Parking Sensors,spec_Keyless Start/ Button Start,spec_GPS Navigation System,spec_ADAS,spec_Automatic Emergency Braking,spec_Vehicle Warranty,spec_Battery,spec_Driving Range,spec_Battery Warranty,spec_DC Fast Charging,spec_AC Fast Charging,spec_AC Regular Charging,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership
0,700000.0,3381000.0,Diesel,"Automatic, Sport Mode",Ibis White,Not Available,NotAvailable,Ahmedabad,"1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Sport Mode",141 bhp @ 4200 rpm,320 Nm @ 1750 rpm,ARAI: 16.55 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,No,,No,No,,,Not Applicable,,,,,,,,,,,2014,Audi,A4,"['2.0', 'TDI', '(143bhp)']",100000.0,3
1,1499000.0,,Diesel,"Automatic, Manual Override, Sport Mode",White,Comprehensive,Individual,"Gota, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Manual Override, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2016,Audi,A4,"['35', 'TDI', 'Premium', 'Sport', '+', 'Sunroof']",65000.0,1
2,1100000.0,4340000.0,Diesel,"Automatic, Sport Mode",Red,Comprehensive,Individual,"Kalupur, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",75000.0,1
3,1050000.0,,Petrol,Automatic - 6 Gears,White,Not Available,Individual,"Bodakdev, Ahmedabad","1798 cc, 4 Cylinders Inline, 4 Valves/Cylinder",Petrol,Automatic - 6 Gears,161@4500,250@1500,ARAI: 8.96 kmpl,,,5 Seats and 2 Rows,,70 litres,,Yes,,,,,,,Yes,,Yes,Yes,Electrically Adjustable Sunroof,,,,,,,,,,,,,,,,,2009,Audi,A4,"['1.8', 'TFSI']",51000.0,2
4,4700000.0,5852000.0,Petrol,"Automatic - 7 Gears, Manual Override, Sport Mode",Red,Comprehensive,Individual,"Dariyapur, Ahmedabad","1395 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic - 7 Gears, Manual Override, Sport Mode",148 bhp @ 5100 rpm,250 Nm @ 1250 rpm,ARAI: 19.2 kmpl,,BS 4,4 Seats and 2 Rows,320 L,50 litres,"5 Airbags (Driver, Front Passenger, Driver Knee, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,No,Front & Rear,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2020,Audi,A3,"['35', 'TFSI']",42174.0,1
5,1800000.0,5277000.0,Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",Black,Comprehensive,Individual,"Makarba, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,ARAI: 17.84 kmpl,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",52412.0,1
6,600000.0,,Petrol,Automatic - 6 Gears,Ibis White,Expired,Individual,"Chandkheda, Ahmedabad","1798 cc, 4 Cylinders Inline, 4 Valves/Cylinder",Petrol,Automatic - 6 Gears,161@4500,250@1500,ARAI: 8.96 kmpl,,,5 Seats and 2 Rows,,70 litres,,Yes,,,,,,,Yes,,Yes,Yes,Electrically Adjustable Sunroof,,,,,,,,,,,,,,,,,2011,Audi,A4,"['1.8', 'TFSI']",122000.0,2
7,700000.0,4604000.0,Diesel,"Automatic, Manual Override, Sport Mode",Other,Third Party,Individual,"Narol, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Manual Override, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,No,Rear,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2015,Audi,A4,"['35', 'TDI', 'Premium']",147000.0,2
8,2950000.0,5755000.0,Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",White,Not Available,Individual,"Bodakdev, Ahmedabad","1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,ARAI: 17.4 kmpl | User Reported: 17 kmpl,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,No,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2021,Audi,A4,"['Premium', 'Plus', '40', 'TFSI', '[2021-2024]']",53000.0,1
9,3300000.0,6196000.0,Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",White,Comprehensive,Individual,"Jivraj Park, Ahmedabad","1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,ARAI: 17.4 kmpl | User Reported: 17 kmpl,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1
10,749000.0,4340000.0,Diesel,"Automatic, Sport Mode",White,Expired,Individual,"Mithakhali, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",95000.0,1
11,1090000.0,4340000.0,Diesel,"Automatic, Sport Mode",Silver,Expired,Individual,"Vastrapur, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",126000.0,2
12,3700000.0,5701000.0,Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",White,Zero Depreciation,Individual,"Dariyapur, Ahmedabad","1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,ARAI: 17.4 kmpl | User Reported: 17 kmpl,241 kmph,BS6 Phase 2,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,-,Rear,No,No,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2025,Audi,A4,"['Premium', 'Plus', '40', 'TFSI']",14000.0,1
13,2800000.0,5230000.0,Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",Blue,Not Available,Individual,"Bodakdev, Ahmedabad","1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,ARAI: 17.4 kmpl | User Reported: 18 kmpl,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,No,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2022,Audi,A4,"['Premium', '40', 'TFSI', '[2021-2024]']",43000.0,1
15,3200000.0,6196000.0,Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",White,Zero Depreciation,Individual,"Jivraj Park, Ahmedabad","1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,ARAI: 17.4 kmpl | User Reported: 17 kmpl,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1
16,1399000.0,5277000.0,Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",Grey,Third Party,Individual,"Vastrapur, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,ARAI: 17.84 kmpl,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",70000.0,1
17,990000.0,,Diesel,"Automatic, Sport Mode",White,Not Available,Not Available,"Gota, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71000.0,
18,999000.0,4340000.0,Diesel,"Automatic, Sport Mode",Blue,Expired,Individual,"Sola, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Sport Mode",177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,ARAI: 17.11 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71500.0,1
19,2300000.0,4879000.0,Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",Red,Expired,Individual,"Bodakdev, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,ARAI: 17.84 kmpl,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2019,Audi,A4,"['35', 'TDI', 'Premium', 'Plus']",58000.0,1
20,799000.0,,Petrol,"Automatic, Sport Mode",Black,Expired,Individual,"Vastrapur, Ahmedabad","1798 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Petrol,"Automatic, Sport Mode",170 bhp @ 3800 rpm,320 Nm @ 1400 rpm,ARAI: 18.78 kmpl,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2014,Audi,A4,"['1.8', 'TFSI', 'Multitronic', 'Premium', 'Plus']",32000.0,1
21,1575000.0,5432000.0,Diesel,"Automatic, Manual Override, Sport Mode",White,Expired,Individual,"Navrangpura, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic, Manual Override, Sport Mode",177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,ARAI: 16.66 kmpl,,,5 Seats and 2 Rows,530 L,65 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Remote Central Locking with Boot Opener,Electrically Adjustable Sunroof,,Yes,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",68000.0,2
22,2200000.0,5277000.0,Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",White,Comprehensive,Individual,"Bodakdev, Ahmedabad","1968 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",Diesel,"Automatic - 7 Gears, Manual Override, Sport Mode",188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,ARAI: 17.84 kmpl,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",45000.0,1
