Price,new_car_price,overview_Fuel type,spec_Top Speed,spec_Emission Standard,spec_Seating Capacity,spec_Bootspace,spec_Fuel Tank Capacity,spec_Airbags,spec_Anti-Lock Braking System (ABS),spec_Electronic Stability Program (ESP),spec_Brake Assist (BA),spec_Electronic Brake-force Distribution (EBD),spec_Traction Control System (TC/TCS),spec_Hill Hold Control,spec_Hill Descent Control,spec_Child Safety Lock,spec_Child Seat Anchor Points,spec_Engine Immobiliser,spec_Central Locking,spec_Sunroof,spec_Parking Sensors,spec_Keyless Start/ Button Start,spec_GPS Navigation System,spec_ADAS,spec_Automatic Emergency Braking,spec_Vehicle Warranty,spec_Battery,spec_Driving Range,spec_Battery Warranty,spec_DC Fast Charging,spec_AC Fast Charging,spec_AC Regular Charging,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage
700000.0,3381000.0,Diesel,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,No,,No,No,,,Not Applicable,,,,,,,,,,,2014,Audi,A4,"['2.0', 'TDI', '(143bhp)']",100000.0,3,Automatic,No,Not Available,Ahmedabad,1968 ,141,16.55 kmpl
1499000.0,,Diesel,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2016,Audi,A4,"['35', 'TDI', 'Premium', 'Sport', '+', 'Sunroof']",65000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,177,17.11 kmpl
1100000.0,4340000.0,Diesel,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Remote,Electrically Adjustable Sunroof,,No,No,,,Not Applicable,,,,,,,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",75000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,177,17.11 kmpl
1050000.0,,Petrol,,,5 Seats and 2 Rows,,70 litres,,Yes,,,,,,,Yes,,Yes,Yes,Electrically Adjustable Sunroof,,,,,,,,,,,,,,,,,2009,Audi,A4,"['1.8', 'TFSI']",51000.0,2,Automatic,No,Individual,Ahmedabad,1798 ,161,8.96 kmpl
4700000.0,5852000.0,Petrol,,BS 4,4 Seats and 2 Rows,320 L,50 litres,"5 Airbags (Driver, Front Passenger, Driver Knee, Driver Side, Front Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,No,Front & Rear,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2020,Audi,A3,"['35', 'TFSI']",42174.0,1,Automatic,Yes,Individual,Ahmedabad,1395 ,148,19.2 kmpl
1800000.0,5277000.0,Diesel,,BS 4,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,Electrically Adjustable Sunroof,Rear,No,Yes,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",52412.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,188,17.84 kmpl
600000.0,,Petrol,,,5 Seats and 2 Rows,,70 litres,,Yes,,,,,,,Yes,,Yes,Yes,Electrically Adjustable Sunroof,,,,,,,,,,,,,,,,,2011,Audi,A4,"['1.8', 'TFSI']",122000.0,2,Automatic,No,Individual,Ahmedabad,1798 ,161,8.96 kmpl
700000.0,4604000.0,Diesel,,,5 Seats and 2 Rows,480 L,63 litres,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Remote,No,Rear,No,No,,,Not Applicable,,,,,,,,,Turbocharged (Variable Geometry),No,2015,Audi,A4,"['35', 'TDI', 'Premium']",147000.0,2,Automatic,Yes,Individual,Ahmedabad,1968 ,177,17.11 kmpl
2950000.0,5755000.0,Petrol,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,No,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2021,Audi,A4,"['Premium', 'Plus', '40', 'TFSI', '[2021-2024]']",53000.0,1,Automatic,No,Individual,Ahmedabad,1984 ,201,17.4 kmpl
3300000.0,6196000.0,Petrol,241 kmph,BS 6,5 Seats and 2 Rows,,54 litres,"8 Airbags (Driver, Front Passenger, 2 Curtain, Driver Side, Front Passenger Side, 2 Rear Passenger Side)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Keyless,Electrically Adjustable Sunroof,Rear,No,Yes,,No,Not Applicable,Not Applicable,941 km,Not Applicable,,,,No,,Turbocharged (Variable Geometry),No,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,201,17.4 kmpl
