Price,new_car_price,overview_Fuel type,spec_Regenerative Braking,spec_CNG Tank Capacity (L/Kg),spec_Turbocharger/ Supercharger,spec_Four-Wheel-Drive,Manufacturing Year,Brand,Model,Varient,Kilometer,ownership,Transmission,Insurance,Registration_Type,City,Engine(cc),Max_Power(bhp),Mileage,Emission_Standard,Seating_Capacity,Fuel_Tank_Capcity,Safety_Score,Sunroof,Praking_Sensors,Keyless_Start,GPS_Navigation,ADAS,Automatic_Emergency_Braking,Driving_Range
700000.0,3381000.0,Diesel,,,,,2014,Audi,A4,"['2.0', 'TDI', '(143bhp)']",100000.0,3,Automatic,No,Not Available,Ahmedabad,1968 ,141.0,16.55 kmpl,Not Applicable,5,63,1.971528175349786,No,No,No,No,No,No,0
1499000.0,,Diesel,,,Turbocharged (Variable Geometry),No,2016,Audi,A4,"['35', 'TDI', 'Premium', 'Sport', '+', 'Sunroof']",65000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.7034304767949882,Yes,Yes,No,No,No,No,0
1100000.0,4340000.0,Diesel,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",75000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.971528175349786,Yes,No,No,No,No,No,0
1050000.0,,Petrol,,,,,2009,Audi,A4,"['1.8', 'TFSI']",51000.0,2,Automatic,No,Individual,Ahmedabad,1798 ,161.0,8.96 kmpl,Not Applicable,5,70,1.1757851448580747,Yes,No,No,No,No,No,0
4700000.0,5852000.0,Petrol,,,Turbocharged (Variable Geometry),No,2020,Audi,A3,"['35', 'TFSI']",42174.0,1,Automatic,Yes,Individual,Ahmedabad,1395 ,148.0,19.2 kmpl,BS 4,4,50,4.3637757512807545,No,Yes,No,No,No,No,0
1800000.0,5277000.0,Diesel,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",52412.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,188.0,17.84 kmpl,BS 4,5,54,7.0241210257665205,Yes,Yes,No,Yes,No,No,0
600000.0,,Petrol,,,,,2011,Audi,A4,"['1.8', 'TFSI']",122000.0,2,Automatic,No,Individual,Ahmedabad,1798 ,161.0,8.96 kmpl,Not Applicable,5,70,1.1757851448580747,Yes,No,No,No,No,No,0
700000.0,4604000.0,Diesel,,,Turbocharged (Variable Geometry),No,2015,Audi,A4,"['35', 'TDI', 'Premium']",147000.0,2,Automatic,Yes,Individual,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.7034304767949882,No,Yes,No,No,No,No,0
2950000.0,5755000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2021,Audi,A4,"['Premium', 'Plus', '40', 'TFSI', '[2021-2024]']",53000.0,1,Automatic,No,Individual,Ahmedabad,1984 ,201.0,17.4 kmpl,BS 6,5,54,7.0241210257665205,Yes,Yes,No,No,No,No,941
3300000.0,6196000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,201.0,17.4 kmpl,BS 6,5,54,7.0241210257665205,Yes,Yes,No,Yes,No,No,941
749000.0,4340000.0,Diesel,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",95000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.971528175349786,Yes,No,No,No,No,No,0
1090000.0,4340000.0,Diesel,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",126000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.971528175349786,Yes,No,No,No,No,No,0
3700000.0,5701000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2025,Audi,A4,"['Premium', 'Plus', '40', 'TFSI']",14000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,201.0,17.4 kmpl,BS 6,5,54,7.0241210257665205,No,Yes,No,No,No,No,941
2800000.0,5230000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2022,Audi,A4,"['Premium', '40', 'TFSI', '[2021-2024]']",43000.0,1,Automatic,No,Individual,Ahmedabad,1984 ,201.0,17.4 kmpl,BS 6,5,54,7.0241210257665205,Yes,Yes,No,No,No,No,941
3200000.0,6196000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2023,Audi,A4,"['Technology', '40', 'TFSI', '[2022-2024]']",33000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,201.0,17.4 kmpl,BS 6,5,54,7.0241210257665205,Yes,Yes,No,Yes,No,No,941
1399000.0,5277000.0,Diesel,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",70000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,188.0,17.84 kmpl,BS 4,5,54,7.0241210257665205,Yes,Yes,No,Yes,No,No,0
990000.0,,Diesel,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71000.0,,Automatic,No,Not Available,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.971528175349786,Yes,No,No,No,No,No,0
999000.0,4340000.0,Diesel,,,,,2015,Audi,A4,"['2.0', 'TDI', '(177bhp)', 'Premium', 'Plus']",71500.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177.0,17.11 kmpl,Not Applicable,5,63,1.971528175349786,Yes,No,No,No,No,No,0
2300000.0,4879000.0,Diesel,,,Turbocharged (Variable Geometry),No,2019,Audi,A4,"['35', 'TDI', 'Premium', 'Plus']",58000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,188.0,17.84 kmpl,BS 4,5,54,7.0241210257665205,Yes,Yes,No,Yes,No,No,0
799000.0,,Petrol,,,,,2014,Audi,A4,"['1.8', 'TFSI', 'Multitronic', 'Premium', 'Plus']",32000.0,1,Automatic,No,Individual,Ahmedabad,1798 ,170.0,18.78 kmpl,Not Applicable,5,63,1.971528175349786,Yes,No,No,No,No,No,0
1575000.0,5432000.0,Diesel,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",68000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,177.0,16.66 kmpl,Not Applicable,5,65,2.0189641765427018,Yes,No,Yes,No,No,No,0
2200000.0,5277000.0,Diesel,,,Turbocharged (Variable Geometry),No,2017,Audi,A4,"['35', 'TDI', 'Technology']",45000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,188.0,17.84 kmpl,BS 4,5,54,7.0241210257665205,Yes,Yes,No,Yes,No,No,0
1250000.0,5728000.0,Diesel,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['35', 'TDI', 'Matrix']",110000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,190.0,16.66 kmpl,Not Applicable,5,75,1.7034304767949882,Yes,Yes,Yes,No,No,No,0
2975000.0,7763000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2020,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",38000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,261.0,14 kmpl,BS 6,5,73,5.250557509442676,Yes,Yes,Yes,Yes,No,No,1022
800000.0,,Diesel,,,,,2011,Audi,A6,"['2.7', 'TDI']",61000.0,1,Automatic,Yes,Individual,Ahmedabad,2698 ,180.0,11.86 kmpl,Not Applicable,5,70,1.1757851448580747,Yes,No,No,No,No,No,0
2951000.0,7763000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2020,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",38897.0,1,Automatic,No,Individual,Ahmedabad,1984 ,261.0,14 kmpl,BS 6,5,73,5.250557509442676,Yes,Yes,Yes,Yes,No,No,1022
2000000.0,5728000.0,Diesel,,,Turbocharged (Variable Geometry),No,2019,Audi,A6,"['35', 'TDI', 'Matrix']",80000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,190.0,16.66 kmpl,Not Applicable,5,75,1.7034304767949882,Yes,Yes,Yes,No,No,No,0
3750000.0,7763000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2021,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",31577.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,261.0,14 kmpl,BS 6,5,73,5.250557509442676,Yes,Yes,Yes,Yes,No,No,1022
1090000.0,,Diesel,,,Turbocharged (Variable Geometry),No,2013,Audi,A6,"['2.0', 'TDI', 'Premium', 'Plus']",78000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,177.0,16.66 kmpl,Not Applicable,5,65,2.0189641765427018,Yes,No,Yes,No,No,No,0
1000000.0,5483000.0,Diesel,,,Turbocharged (Variable Geometry),No,2014,Audi,A6,"['35', 'TDI', 'Premium']",108000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177.0,16.66 kmpl,Not Applicable,5,65,2.0189641765427018,Yes,Yes,Yes,No,No,No,0
1400000.0,5483000.0,Diesel,,,Turbocharged (Variable Geometry),No,2015,Audi,A6,"['35', 'TDI', 'Premium']",95000.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,177.0,16.66 kmpl,Not Applicable,5,65,2.0189641765427018,Yes,Yes,Yes,No,No,No,0
1150000.0,4885000.0,Diesel,,,,,2013,Audi,A6,"['2.0', 'TDI', 'Premium']",38000.0,1,Automatic,No,Individual,Ahmedabad,1968 ,177.0,16.66 kmpl,Not Applicable,5,65,1.971528175349786,Yes,No,Yes,No,No,No,0
1190000.0,5841000.0,Petrol,,,Turbocharged (Variable Geometry),No,2016,Audi,A6,"['35', 'TFSI']",97000.0,2,Automatic,Yes,Individual,Ahmedabad,1798 ,190.0,,Not Applicable,5,75,1.7034304767949882,Yes,Yes,Yes,No,No,No,0
3950000.0,7763000.0,Petrol,No,,Turbocharged (Variable Geometry),No,2023,Audi,A6,"['Technology', '45', 'TFSI', '[2019-2024]']",83781.0,1,Automatic,No,Individual,Ahmedabad,1984 ,261.0,14 kmpl,BS 6,5,73,5.250557509442676,Yes,Yes,Yes,Yes,No,No,1022
1750000.0,5728000.0,Diesel,,,Turbocharged (Variable Geometry),No,2017,Audi,A6,"['35', 'TDI', 'Matrix']",72700.0,1,Automatic,No,Not Available,Ahmedabad,1968 ,190.0,16.66 kmpl,Not Applicable,5,75,1.7034304767949882,Yes,Yes,Yes,No,No,No,0
3300000.0,7068000.000000001,Petrol,No,,Turbocharged (Variable Geometry),No,2022,Audi,A6,"['Premium', 'Plus', '45', 'TFSI', '[2019-2024]']",35770.0,2,Automatic,No,Individual,Ahmedabad,1984 ,261.0,14 kmpl,BS 6,5,73,5.250557509442676,Yes,Yes,Yes,Yes,No,No,1022
2250000.0,4672000.0,Petrol,,,Turbocharged,Torque-On-Demand,2021,Audi,Q2,"['Premium', '40', 'TFSI', 'quattro']",60000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,188.0,15.3 kmpl,BS 6,5,55,4.8836216556129095,Yes,Yes,Yes,Yes,No,No,846
1895000.0,4672000.0,Petrol,,,Turbocharged,Torque-On-Demand,2020,Audi,Q2,"['Premium', '40', 'TFSI', 'quattro']",24000.0,2,Automatic,No,Individual,Ahmedabad,1984 ,188.0,15.3 kmpl,BS 6,5,55,4.8836216556129095,Yes,Yes,Yes,Yes,No,No,846
2100000.0,12600000.0,Diesel,,,,,2012,Audi,A8,"['L', '3.0', 'TDI', 'quattro']",32500.0,1,Automatic,Yes,Individual,Ahmedabad,2967 ,247.0,15.5 kmpl,Not Applicable,4,90,1.971528175349786,Yes,No,Yes,Yes,No,No,0
4250000.0,,Petrol,No,,Turbocharged,Full-time,2024,Audi,Q3,"['Sportback', 'Technology', 'Plus', 'S-line']",6000.0,,Automatic,No,Not Available,Ahmedabad,1984 ,193.0,,BS 6,5,62.4,5.5660912091903905,Yes,Yes,No,Yes,No,No,0
3351000.0,6018000.0,Petrol,No,,Turbocharged,Full-time,2024,Audi,Q3,"['Sportback', 'Technology', 'Plus', 'S-line', '[2023-2024]']",35162.0,1,Automatic,No,Not Available,Ahmedabad,1984 ,193.0,,BS 6,5,62.4,5.5660912091903905,Yes,Yes,No,Yes,No,No,0
1675000.0,3873000.0,Petrol,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TFSI', 'Premium']",30000.0,1,Automatic,Yes,Individual,Ahmedabad,1395 ,148.0,16.9 kmpl,BS 4,5,64,5.5660912091903905,Yes,No,No,Yes,No,No,0
1750000.0,4.7,Diesel,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TDI', 'Premium', 'FWD']",68829.0,1,Automatic,No,Individual,Ahmedabad,1968 ,150.0,18.51 kmpl,BS 4,5,64,5.250557509442676,Yes,No,No,Yes,No,No,0
3900000.0,5303000.0,Petrol,,,Turbocharged,Full-time,2025,Audi,Q3,"['40', 'TFSI', 'Premium', 'Plus']",35000.0,1,Automatic,Yes,Individual,Ahmedabad,1984 ,188.0,14.93 kmpl,BS 6,5,62.4,5.5660912091903905,Yes,Yes,No,Yes,No,No,896
1290000.0,3611000.0,Diesel,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TDI', 'S']",122000.0,1,Manual,Yes,Individual,Ahmedabad,1968 ,138.0,17.71 kmpl,Not Applicable,5,64,1.7034304767949882,Yes,No,No,No,No,No,0
1490000.0,,Diesel,,,Turbocharged (Variable Geometry),Torque-On-Demand,2017,Audi,Q3,"['35', 'TDI', 'Premium', 'Plus', '+', 'Sunroof']",85500.0,2,Automatic,Yes,Individual,Ahmedabad,1968 ,174.0,15.77 kmpl,Not Applicable,5,64,2.0189641765427018,Yes,Yes,No,No,No,No,0
1200000.0,3904000.0,Diesel,,,,,2013,Audi,Q3,"['2.0', 'TDI', 'quattro', 'Premium']",127000.0,2,Automatic,No,Individual,Ahmedabad,1968 ,174.0,15.77 kmpl,Not Applicable,5,64,1.971528175349786,Yes,No,No,No,No,No,0
1500000.0,3873000.0,Petrol,,,Turbocharged (Variable Geometry),No,2017,Audi,Q3,"['30', 'TFSI', 'Premium']",38000.0,2,Automatic,Yes,Individual,Ahmedabad,1395 ,148.0,16.9 kmpl,BS 4,5,64,5.5660912091903905,Yes,No,No,Yes,No,No,0
1551000.0,4093000.0,Diesel,,,Turbocharged (Variable Geometry),No,2018,Audi,Q3,"['30', 'TDI', 'Premium', 'FWD']",75831.0,1,Automatic,Yes,Individual,Ahmedabad,1968 ,150.0,18.51 kmpl,BS 4,5,64,5.250557509442676,Yes,No,No,Yes,No,No,0
4250000.0,,Petrol,,,Turbocharged,Full-time,2025,Audi,Q3,"['40', 'TFSI', 'Technology']",7255.0,,Automatic,No,Not Available,Ahmedabad,1984 ,188.0,14.93 kmpl,BS 6,5,62.4,5.5660912091903905,Yes,Yes,No,Yes,No,No,896
1950000.0,4844000.0,Diesel,,,Turbocharged (Variable Geometry),Torque-On-Demand,2018,Audi,Q3,"['35', 'TDI', 'quattro', 'Technology']",79461.0,1,Automatic,No,Individual,Ahmedabad,1968 ,184.0,15.17 kmpl,BS 4,5,64,5.250557509442676,Yes,Yes,No,Yes,No,No,0
